topic_num	topic_size	topic_words	theme_label	Notes	theme_label_short
113	60	zonderling bijzien bekoorlijk vagelijk neerhangen bekoring jongmens precieus toeschijnen onbeweeglijkheid divan weerschijn ongerijmd eender merkwaardig verrukking eigenaardig plachten mauf onvergelijkelijk geestigheid pommaderen welhaast flets koketterie purperrood schroomvallig aanminnig ietwat kleurloos plechtstatig bekoorlijkheid lachwekkend verstrooidheid potsierlijk lorgnet glansloos eensklaps banaal vulgariteit mme allengs deerniswekkend kinderlijk welgedaan raffinement bleekheid onverhoeds onbeduidend monsterachtig	behaviours/feelings	I have not really have an idea about this topic	behaviours / feelings
114	60	accessoire stylist vintag fashion stylen basics styling item kledingmerk designer looks h&m hip outfit look webshop pinterest mode shoppen modeblaad vogue pasvorm modetrend supermooi hipp dresscode modewereld fotoshoots styliste kledingstijl modeontwerper fotoshoot minimalistisch lifestyle merk shoot leuken impulsaankoop modeshow setje must merkkleding garderobe miskoop casual kledingstuk influencer kledinglijn prada modetijdschrift	behaviours/feelings;lifestyle and sport	mode and style	behaviours / feelings;lifestyle & sport
115	60	kibboet haifa aviv beet jaffa tel sjalom zionistisch jiddisch palestina michaël moshe chaim hebron meir rabbijn klaagmuur israëlisch zionist zionisme zesdaagse hebreeuws mitswa jom wadi pesach sjoel gaza jordaanoever tamar israëliër chassidisch palestijns palestijn wald israëlit keppel gazastrook arabier jeruzalem jodin koketterie israël checkpoint synagoge mesjogge joods sefardisch vijgenboom bijzien	religion, spirituality and philosophy;culture;geography and setting		reli. / spirit. / phil.;culture;geography & setting
116	60	mme markiezin koketterie verhelen salons duc bekoorlijkheid champs-elysées bekoorlijk beminnelijkheid onvergelijkelijk molière banaal confidentie kiesheid académie vulgariteit koelheid bekoring toeschijnen raffinement balzac françoise opéra geestigheid saint-germain welhaast snobisme benauwenis esprit bevalligheid gekunsteldheid laagheid bekoren noblesse lichtzinnigheid genieting faubourg zinnelijkheid julien gelief stendhal onbeduidendheid spotternij chateaubriand terstond hôtel verfijning voornaamheid parijzenaar	culture;behaviours/feelings;geography and setting		culture;behaviours / feelings;geography & setting
117	58	psychiatrie stoornis psychose bipolair psychiatrisch manisch psychiater manisch-depressief schizofrenie psychotisch geestesziekte depressie klinisch antidepressiva lithium angststoornis antidepressivum depressiviteit schizofreen psychopathologie diagnosticeren psychisch medicatie depressief prozac zelfmoordgedacht ziektebeeld diagnose psychotherapie obsessief-compulsief dsm psychotherapeutisch suïcidaal gedragsstoornis adhd diagnostisch diagnostic episood psychiatric gedragstherapie behandelaar atypisch farmacologisch neurosen elektroshocks persoonlijkheidsstoornis borderline symptoom ziektegeschiedenis diagnostiek	medicine/health		medicine / health
118	58	pup pups apporteren aanlijnen bench puppy rashond hondje puppy’s kwispelen retriever reu speeltje kennel hondenbezitter hondenras huisdier labrador teefje terriër bordercollie halsband teven besnuffelen socialiseren speel voerbak viervoeter voorpoot kattenbak zindelijk waak keffen dalmatiër dierenarts vacht hondenmand blaf teckel zindelijkheid etensbak honds fokker aaien socialisatie collie nekvel asiel aanhankelijk snuffelen	wildlife/nature;society	dog	wildlife / nature;society
119	58	then not already there very own allowen often almost founen much yet moeden soon quite heven perhaps all always asken together still camen followen given where saaben need usen worken taken fellen too again turneden once tryingen becomen whool sometimes such kijpen aren thougen knijgen segen comingen diingen many course	other		other
120	58	gold marsha felicia nevada patience destiny fool hendrix montana dakota kipling justice pia hm-m charity larissa margaritat drieling heidi nacho’s gladys madeline isabel meidenavond zomerkamp footballspeler jo’s gideon reese evie starr raoul koffiezaak denise ethan festival caramel hawk rafe realityshow huisje-boompje-beestje tucker tyler settelen supersexy shelby yogabroek phoebe liz hindernisbaan	other	do not know what is it about	other
121	58	stuifmeel hommel insect plantensoort honingbij bestuiven nectar rups larven bijen lieveheersbeestje meeldraad zaailing eetbaar voedselbron larve bij grassoort wespen compost opkweken pissebedd achterlijf kweken determineren parasitair composthoop lupine eenjarig broed tuinier nachtvlinder tuiniëren stengel bemesten mier bestrijdingsmiddel ongewerveld lieveheersbees potgrond slak variëteit wortelstelsel vingerhoedskruid meerjarig kattenstaart uitbloeien naaktslak bloemknop kweker	wildlife/nature		wildlife / nature
122	58	kaakspier raison ontsnappingsroute albino rom beveiligingscamera’s verplatsen hunter horde austin charlene onderzoeksruimte desoriënteren liftschacht tessa verdovingsmiddel verdoden misselijkmaken bovendrijven bloedspetter doodsangst echoën blootliggend puzzelstuk vastbinden withet erdoorheen bonken schrap laboratoriumjas wegkomen bewusteloos adrenalinestoot drogeren hunters sneden gedeeltes vastzatten verzwollen doorboorden motelkamer dichtstbijzijnde afgrijzen ducttape angstaanjagend injectienaald knevelen achtermuur hartslag deinzen	crime		crime
123	57	peuter kleuter buitenspelen overprikkelen opvoeder ouderschap peuterspeelzaal dreumes opvoedkundig consultatiebureau puberen kleutertijd volwassenen driftbui temperamentvol babytijd spelenderwijs kindvriendelijk speelgoed kinderdagverblijf juffen thuissituatie kleuterklas willetje leeftijdgenootje oppas puber opvoeding driejarig pubers poepluier zindelijk kinderpsycholoog leuks vierjarig kinderfeestje crèche qualitytime rustmoment bedtijd naschools basisschool regelmaat peutertje moederrol gezinssituatie kinderopvang moederschap gezinslid ouderavond	society;behaviours/feelings;family		society;behaviours / feelings;family
124	55	vliesdun holte blauwig ijle knook verstenen oorschelp opspannen gewichtloos melkwit lend plopen dwarelen kleven wentelen wieken volzuigen fosforesceren opzuigen bloedrood weerschijn omzwachtelen doorschijnen donkerte minuscule vasthechten glasachtig opslorpen oogbol ijl gruis verdrogen warrelen uitstulpen weerkaatsing stulpen uitvloeien voetzoel melkachtig lichtgevend tongpunt iriseren blauwzwart zwalpen stollen schilfer verpulveren wittig waaieren ademstoot	other	something about body and falling and some light and air effects on different things…	other
125	54	sara’s jeffrey will sara faith wills lena atlanta angie amanda emory amanda’s hanks hank cathy dankbeden brock voorzak windhonde meth jezusnaam samenvouwen allejezus straatagent reclasseringsambtenaar evelyn trent jared rosen slaughter adams georgia harding homes neersteken humphrey zedendelinquent rekensommetj smekends collier spoelbak klieten tech nan brad footballveld nagelriem weaver souterrain patterson	other		other
126	54	marino benton kay berger lucy lucy’s quantico fielding wesley bryce doc formaline mortuarium briggs self rigor lijkenzak lijkzak sectierapport koelruimte inbraakalarm bacardi richmond pathologen roestvrijstaal lijkschouwer patholoog-anatoom bray forensisch afvalzak fbi profiler jaime mclean laboratoriumjas koelcel bridges autopsierapport bellevue attachykoffer cargobroek lauderdale lijkstijfheid videoscherm toxicologisch lab delict latex massachusetts feloranje	crime		crime
127	53	virgin mel eureka walt brie grants shelby sacramento river sheridan jacks doc muriel docs jack leslie paige blokhut fortuna noord-californië denny cameron chico luke pass hm-m eetcafé rick lukes onderzoekkamer ricks maandje noah jeminee ranches babysitten oregon cheryl jachtseizoen afvegenen bodega schouderophalen veranda huisje-boompje-beestje ellie settelen abby ranch overnieuw sequoiats	geography and setting		geography & setting
128	53	crossing hm-m wauw sexy riley meidenavond stacy b&b date daten etentje gabe wyatt evie familie-etent ex supersexy settelen yogabroek versierpoging verdorie keukeneiland dylan jezusmina irritant schaapachtig jeetje tikje schattig bloedhekel sexyer gegeneerd dolgraag jot claire margaritat nepglimlach jeffs kneepje knoflookbrood jemig nicole thanksgiving vrouwending brownie verpesten rotdag dylans tienerdochter vredesnaam	romance and sex		romance & sex
129	53	labyrintisch onafzienbaar gestold vervluchtigen verzinken voorwereldlijk verlatenheid schaduwloos schemer verstenen nooteboom gewemel ontbladeren zinnebeeld verdwijnpunt borges stileren slauerhoff waarboven afgrondelijk azuur luchtspiegeling vergeefsheid onvatbaar spinsel verstening huiver doorzichtigheid dolen drogbeeld weerschijn waartussen vreeswekkend arcadisch verglijden wanen baaierd ijl memento ongerijmd onbestaanbaar ontrollen vraatzuchtig anachronistisch onbeweeglijkheid vreemdheid eindeloosheid einder monsterachtig desolaat	culture;behaviours/feelings;geography and setting		culture;behaviours / feelings;geography & setting
130	53	juda assyriër nehemia jahweh jozua abba zacharia almachtige waterkruik moab assyrisch wijnzak babyloniër babylonië jesaja hogepriester samaria israëliet ramshoorn betlehem bijvrouw waterzak perkamentrol filistijnen tempelberg babylonisch volksgenoot pascha jeruzalem leviet slaapmat dienares boekrol tempel oudsten samaritaans samaritanen tuniek offerdier schriftgeleerde afgood moloch voorhof kookvuur paleiswacht hosea farao gezalfd stadspoort kanaän	religion, spirituality and philosophy;society	Bible	reli. / spirit. / phil.;society
131	53	amish hollow achterveranda quilt esthers voorveranda nellie pa’s buiten-wc verandatrap mae eben verstoting esther mama’s schommelstoel allemens prediker eli haus mattie nan hordeur bakkerswinkel hen veranda pennsylvania samuels eenvoud mamats werklaars louisa kentucky rose maïsbrood ohio caleb schommelbank lancaster dankgebed beth annies schorten samuel hoofdbedekking kersentaart wasdag strohoed timothy joanna	behaviours/feelings;society;geography and setting		behaviours / feelings;society;geography & setting
132	53	wateren netel vrouwe nar wambuis tovenares woud hertenbok mantel kookvuur krijgsman komfoor minstreel perkamentrol metgezel waterzak zwaardvechter tentflap gevest ser kobold handhaver toorts schildknaap draak genezeres meidoorn rijdier zwaardvechten krijger tuniek burcht hooggeboren gooden webben wapenrusting coterie wijnzak pijlkoker hoofdman troonzaal vuurplaats magiër zwaarden boogpees zeeslang heerseres meesteres gewaad magie	supernatural, fantasy and sci-fi;war		super., fantasy & sci-fi;war
133	53	troonzaal deinsen krimpen fluiseren magie wachter geleider schrijuen perkamentrol søren frinzen levensbloed tentflap gooden withet dolk zwaarden strompel verstarten gevest aarzellen paleiswacht uitschreuwen myriad weigen ijsblauw vervagen hoogheid verman heppen glurten koningin tuniek fleppen ineenkrimpen toorts borstplaat smijken obsidiaan weerkaatsen kerker doorkeven gewaad kromen vervliegen djinn spetten fronzen bederf bijven	supernatural, fantasy and sci-fi;war		super., fantasy & sci-fi;war
134	52	nederlands-indië indië indonesiër indonesisch batavia javaans java sumatra politioneel indonesië indische indischen inlands jakarta indonesia jappenkamp inlander maleis gouverneur-generaal koloniën bali koloniaal balinees nieuw-guinea resident archipel dienstplichtig kolonisator borneo dekolonisatie havelaar internering jap legerleiding oost-indië capitulatie japanner rijsttafel militaire colijn interneringskamp onafhankelijkheidsstrijd troop oorlogstijd interneren koelie suriname hollander krijgsgevangenschap repatriëren	geography and setting;history;culture		geography & setting;history;culture
135	52	’ns bakkes alleszins zeik allicht poetsvrouw kakken godverdomd kanis kloot ginder dommerik nitwit godbeteren wijf pintje nochtans schetten uitvreten pils zeiken tateren zeikerd mokkel smoel sukkelaar tuba overschat onnozelaar godverdom maandstond miserie alras stiel schijten kut bijkans tiet beffen debiel plezant jef triestig goesting zeveren pipo troela zot oei alwéér	other;society	something about drinking, sex, fights, so socially low class live, I’d say	other;society
136	52	toer hechen haken lus herhaal v scheep fuchsia afwerking naaien afknippen stokje insteken moeilijkheidsgraad tr mindering driedubbel bevestig stijken rondom voorlangs gehaakt driedubbeel achterlangs brei mm st 4 acryl garen 2 lichtgrijs vastgenaaien turquoise wissel meerderen antraciet 3 meerdere lichtroos voorpand 1 5e opvullen 7 aanhechten 5 6 tussenruimte mind	other		other
137	50	psychoanalytisch psychoanalyticus psychoanalyticu psychoanalyse freuds freudiaans freud neurose verdringing internaliseren vertoog neurosen psychotherapeutisch disciplinering psychologisch psychopathologie individu problematiseren preoccupatie verinnerlijken ambivalentie regressief analyticus socioloog familiaal discours psychotherapie foucault sublimatie individualiseren objectiveren sociologisch psyche normatief vervreemding psychotherapeut affectief problematisch paradoxaal sigmund sublimeren existentiel problematiek menswetenschap gedragsmatig jeugdervaring defininiëren patriarchaal behoeftebevrediging superego	medicine/health		medicine / health
138	50	lucinda dominic burggraaf soiree angelica henrietta sjee reverence protegee lady matrone balzaal lord gezelschapsdame eliza mortimer losbol douairière rokkenjager verleidingspoging devil bokaal chaperonne jongedame danspartner debutante lester koets grosvenor gracieus onderrokken verduivelen lakei quadrille markiezin halsdoek ives kamenierster achteroverleunen wals delicaat mousselinen lijfknecht stalknecht japon bezitterig chaperonneren damesachtig fatsoensregel heather	romance and sex;culture;behaviours/feelings;geography and setting	I find it too many for just one topic, but cannot chose something 	romance & sex;culture;behaviours / feelings;geography & setting
139	49	paramaribo suriname surinaams surinamer creol creools hindoestaans antillen curaçao javaans plantage guyana antilliaans antilliaan koloniaal planter kolonisator moederland west-indisch inlands dekolonisatie caribisch indonesiër nederlands-indië inlander caraïbisch bijlmer indonesisch koloniën wingewest slavenhouder troop kolonien indië indischen aruba blank kolonialisme batavia trinidad sociëteit slavernij kroeshaar indonesië koelie slavenhandel nederlander indische inheem cariben	geography and setting;history		geography & setting;history
140	49	oostenrijk-hongarije opperbevel offensief legerkorps legerleiding oostenrijkers geallieerde mobilisatie somme marne tegenoffensief terreinwinst artillerie oostenrijks-hongaars pruisisch pantserdivisie omsingeling veldmaarschalk pruisen front fransen hindenburg oorlogsverklaring troepenbeweging verdun bruggenhoofd strijdkracht mogendheid wapenstilstand vredesconferentie opmars expeditielegeren frontlijn krijgsgevang stafofficier loopgravenoorlog duitslands bewapening loopgraven vredestijd brit blitzkrieg oprukken bismarck oostenrijks oprukten frontsoldaat oost-pruisen ieper maarschalk	history;geography and setting		history;geography & setting
141	48	pilgrim boliviaans vrijmetselaar padre paz sergio rapenburg inca’s bolivia hortus alziend fay monique godenbeeld dnder hofje leids judith peruaans papyrus kleitablet mummie spijkerschrift mensenoffer andes diederik peru vrijmetselaarsloge monoliet archeoloog dios aantekenboekje fathers vrijmetselarij mayflower omhoogheffen archeologie winkelhaak godenzoon schutspatroon conquistadores indiaans hogers santiago archeologen coen dorothea thijs zonnegod opgraving	geography and setting;religion, spirituality and philosophy	not sure about religion, might also be culture	geography & setting;reli. / spirit. / phil.
142	48	strijdwagen meren nijl hui waterzak kromzwaard farao kookvuur handbreedte kameel karavaan musket thebe galei krijger lendendoek zwaarden kuras zwaardvechter draagstoel galeien kromzwaarde slavenhandelaar faraoo wadi tuniek tuigage rijdier slagtand voorstefen zwaarbeladen egyptenaar hoofdtooi lastdier galjoen buitmaken woestijnzand dierenhuid rivierbedding rivieroever roeier egyptisch gevest zeeslang speer hoofdpoort enterhaak menner boogpees luxor	geography and setting;history		geography & setting;history
143	48	tuilerie robespierre bonaparte guillotine marie-antoinette bastille martinique alexandre kokarde napoleons napoleon eugène parijzenaar madame versailles maman fontainebleau koningsgezind cour chateaubriand faubourg ancien mademoiselle zonnekoning richelieu marseillaise franse xvi orléans rue salons xv luxembourg antichambre monsieur xiv schavot seine aristocraat comte sou opéra montmartre régime gepeupel saint-germain parijs lodewijk edellieden hofdame	geography and setting;culture;history		geography & setting;culture;history
144	47	vine hampstead terrace paddington marylebone road portobello zuid-londen notting noord-londen halfvrijstaand knightsbridge fulham victoriaans flat kensington islington highgate gardens zit-slaapkamer primrose john’s erkerraam georgiaans brixton harrods euston edwardiaans harrow tesco gloucestershire rijtjeshuis charing james’s pond king’s piccadilly shepherd’s zondagskrant cottage crescent draagtas street surrey joanna londens zitkamer sussex hill beglazing	geography and setting		geography & setting
145	47	evan veiligheidsglas deurhendel ontgrendelen nowhere suburban metaal geluiddemper suv parkeerstand ducttape glock hummer stalen matzwart holster onderarm chevy metalig klik suvt broekband headset garagedeur pick-up roldeur handwapen spiergeheugen beton titanium broeksband zilverkleurig semiautomatisch klikje metaalachtig veiligheidspal roestvrijstaal kogelwerend openspringen betonnen oortje plaatstaal scanden chauffeurskant tahoe doorladen ijspriem zendertje aluminium tiewrap	crime		crime
146	47	verken openingstijd tel. toegangsprijs toeristenbureau prijzig museo cafés gost fraaist bezienswaardigheid kunstnijverheid basilica torre km voetgangersgebied via piazza lago delle maggiore campo toscaans madeira musea casa centro arte santa teatro rhodos sfeervol 16 neoklassiek frescoop moors kathedraal monte voordelig sardinië porto palazzo ponte nacional andalusië romaans del laagseizoen medio vr	culture		culture
147	46	zooo supermooi superleuk omg knalroos supercool vogue superlief style fashion luipaardprint shoot h&m outfit supergoed allerleuk fotoshoot catwalk vintag stylist looks vuitton superblij hotpants gucci modeshow knalblauw prada stylen paillet glitterjurk schoolfeest hip styliste kledingrek topmodel shoppen fotoshoots look chanel tof megagroot cool superaardig modeontwerper showen knalgeel visagist knalrood glitter	behaviours/feelings;lifestyle and sport	mode and style	behaviours / feelings;lifestyle & sport
148	46	schemer weerschijn neerhangen kwekerij purperrood blauwig roezig lantaren waartussen tegelpad woeien buikig kastanjebomen pergola zwartglanzend schemeren waarachter roerloosheid benedenhuis ontbladeren bovenraam onbeweeglijk verveloos vliesdun daklijst overhuiven vernissen spoordijk manshoog donkeren populier tuinbank tramrail snelbinder plantsoen floer staketsel broeikas fluwelig donkergeel waardoorheen groenig verdorden hortensiats steenrood stationsrestauratie gelig herfstig kinderhoofd beschot	other	?	other
149	46	stedentrip reistijd backpacker aanrader accommodatie vakantiegevoel toeristisch bucketlist gost dagtocht wandelroutes vakantiebestemming massatoerisme hoogseizoen rondreis hostel trekpleister natuurpark overnachting bezienswaardigheid meerdaags sfeervol reisgidse toerisme local wereldreis stadswandeling fotogeniek reisorganisatie reisgid toerist cafe kamperen uitvalsbasis must vakantieganger excursie pittoresk camping wandelroute boottocht openluchtmuseum natuurgebied overnachten safari plekken notendop natuurschoon struinen sightseeing	city, travel and transport		city & travel
150	45	istanbul ankara turks bosporus pasjum anatolië mustafa armeens mehmet turk sultan armenier turkije sultans armeniërs ottomaans koerdisch minaret recep ottomanen koerd theehuis istanboel moskeeën moskee muezzin kalief thessaloniki bazaar achterafstraat oriënt fez verwesteren tataars constantinopel kaukasus oriëntaals imam aleppo armenië sluieren harem waterpijp hoofddoek mohammedaans aga byzantijns paardenkar bulgaars sjah	geography and setting;culture		geography & setting;culture
151	45	rotbeest chocoladefabriek dahl luchtsprong roald huppeldepup peuzelen blubberig toverdrank menseneten ’m harig griezel reus smikkelen rondspringen griffel foetsie brrr doodmaken huppen oppeuzelen floep asjemenou vort aaah sssst joepie engs oogje kippet ondersteboven uilskuik duizendpoot duikelen gossie supergroot smakken krabden pluimstaart kraaloog staarten konijn joekel huppelen kakelen halfgaar bek ssst spin	other		other
152	45	juliana beatrix willem-alexander oranje-nassau wilhelmina inhuldiging noordeinde troonrede bernhard prinselijk koningshuis haags kroonprinses prins friso koninklijk drees staatsbezoek vorstenhuis staatsrechtelijk staatkundig loo staatshoofd ministerraad máxima colijn koninginnedag haag vaderlands monarchie claus staatsrecht prinses ministerieel nederlanden troonsafstand kroonprins koningin staten-generaal gedenkboek oud-premier haagsche televisie-interview oud-minister koningschap defilé kamerdebat koninklijke wassenaar koningspaar	culture;society;geography and setting		culture;society;geography & setting
153	45	laurie westchester hamptons moran nypd timmy privédetective midtown powell manhattan connecticut privédetectives queens shore strafrechtadvocaat kathy tiffanyts fifth l.a. tiffany buckley yorks fulton jersey fbi-agent heights inhuren gregg avenue martini’s bewakingsbeeld lyons maandagavond carpenter ex-vrouw greenwich hoofdverdachte hunters betsy lunchafspraak luizen stalken macy’s kelly mediacircus jerry’s greg terugbellen charley hunter	crime		crime
154	44	grammatica werkwoord enkelvoud voornaamwoord grammaticaal werkwoordsvorm voorzetsel meervoud naamwoord vervoeging lidwoord bijvoeglijk dale spreektaal meervoudsvorm voorvoegsel zinsdeel vervoegen spelling bijzin bijwoord bijzinnen onzijdig -er beleefdheidsvorm bezittelijk onbepaald medeklinker verkleinwoord klinker klemtoon wederkeren schrijfwijze zelfstandig eigennaam zinsbouw naamval passé lettergreep modaal woordenboek weglaten geren taalkundig onregelmatig adjectief voltooien komeren spatie present	other	language/grammar	other
155	43	brugs duvel in beekman onderzoeksrechter duffel procureur guido brugge ins stilaan flik wachtdienst onnozelaar knokke rijkswacht persoonsbeschrijving substituut perrier vette gazet vermeulen west-vlaams monkelen martens parket west-vlaanderen appreciëren gsm appartementsgebouw recupereren tiens repliceren contacteren saskia kortrijk politiekantoor hanne commissaris uitbaatster vervolledigen mechels parking bold kompaan apprecieren nochtans opsporingsbericht ontgoochelen zaventem	geography and setting;crime		geography & setting;crime
156	43	carol carols tony stacey tony’s profielschet paula zware hoofdinspecteur yorkshire alvin worcester brigadier politiewerk moordonderzoek fields na-aper midlands straatagent politiefunctionaris fielding leeds seriemoordenaar hill broodschrijver lawson zit-slaapkamer weird moordslachtoffer duff ripper lancashire cross politiemens undercoveroperatie zuid-londen karen parkeerhaven connolly achteroverzitten vance politiekorps alibi’s karim tijdverspilling halfvrijstaand politievrouw seriemoord inspecteur sensatieblaad	crime		crime
157	43	niccolò florentijns medici abdis de’ venetiaans dukaat venetië palazzo loggia courtisane lorenzo degli piero habijt matteo padua kloostergang francesco bologna cesare signora wambuis delle kloostermuren florence frescoop refter pietro milanees edelvrouw leonardo ponte piazza toscaans pisa tiber giulio giovanni perkament pauselijk gewaad venetiaan novice machiavelli ganzenveer fresco siena veneto altaarstuk	geography and setting;culture		geography & setting;culture
158	43	avalon maple snow sonnet skiën bakery greg sneeuwschoen botenhuis insneeuwen skieden skiër skaan snowboarden skibroek langlaufen skistok tyler skits hm-m poedersneeuw sneeuwscooter zomerkamp zach skipiste daisy wauw skibril logan jacksons jackson inn willow resort nina’s vermont skipak verpesten jess supersexy sexy blokhut verpessen kajak ongecompliceerd sneeuwballengevecht sneeuwvrij skilift haardhout ski	lifestyle and sport		lifestyle & sport
159	43	palestijn palestijns israëlisch jordaanoever gazastrook israëlit gaza israëliër zesdaagse hamas aviv palestina zionist haifa zionistisch westoever arafat jaffa israël hebron tel zionisme jordanië kibboet arabier jord-aans vredesproces libanon meir arabisch hezbollah amman mossad beiroet klaagmuur libanees checkpoint jeruzalem midden-oosten vluchtelingenkamp tempelberg zelfmoordaanslag diaspora terreurorganisatie syriërs syrisch moshe syrië vredesakkoord zion	geography and setting;religion, spirituality and philosophy;war		geography & setting;reli. / spirit. / phil.;war
160	43	me ee he oo we k z r n e o vo t ou s ve en ten j taan ar goe à d u wi p wa h tje hi m hee on was doo f : to i ch hij kom et ste an aar or aa erden	other		other
161	42	beamend moeke warempel wout overgelukkig gevweden bedisselen anno schreiden eerdaags meidje wicht aldoor riek verstouwen zoetjesaan prakkiseren eerlijkheidshalfe eefje onnoemelijk hummeltje trouwhartig weekeind oogappeltje zopas zuurzoet onmondig vertederd ontroerd verzwijgen gauwigheid mans barts gemijmer zielsveel lieverdje melle moederen aanwippen vertederen hoeve goedbeschouwd verdonkeren sores geertje pardoes andermaal mtteten móeten doeddoen	behaviours/feelings		behaviours / feelings
162	42	cary bezitterigheid pik gideon kreun aanspanden klaarken supersexy bezitterig streling ronding sexy dij genot neuken stijve strengelen neukpartij kmaken kreuntje sexyer kutje omhoogglijden sensueel tepel klaarkomen erectie vluggertje geil slipje omlaagglijden omlaggaan schrijlings zijdezacht liefkopen verleidelijk aanspan zenuwuiteind kronken blakes ontlading wellustig oorlel keukeneiland verstrengelen vaneen welving jot orgasme tintelen	romance and sex		romance & sex
163	42	frankisch noormannen franken kroniekschrijver vikingen kustgebied bonifatius saksisch fries plundertocht kerstening grafelijk noordwest-europa graafschap vazal oorkonde lage lotharingen angelsaksisch germaans annaal denen dagobert handelscentrum tiel egmond gallië middeleeuwen havenplaats noord-duitsland handelsverkeer brittannië rijn saksen bourgondië mainz hertogen kuststreek twaalfde-eeuws gregorius heiligenleven leengoed germaan laatmiddeleeuws kale rooftocht geschiedschrijver trier romeinse hertogdom	history;geography and setting		history;geography & setting
164	41	chemin pyreneeën provence dordogne château pastis wijngaard wijnboer bordeaux pelgrim mistral wandelaar voettocht proven-aals rosé zuid-frans mont bonsoir chateau pelgrimstocht merde blanc wandelschoen wandeltocht toulouse gehucht bergdorp voilà loire druivenrank camping bergschoen chambre ardennen rhône pelgrims bewegwijzering proeverij kapelletje zuid-frankrijk baguette saint-michel santiago ontwaar midi pelgrimage berghut platten bourgogne klim	city, travel and transport;religion, spirituality and philosophy		city & travel;reli. / spirit. / phil.
165	41	michelle stone fbi-agent sean fbi horatio maxwell potomac secret shaw knox bagger beveiligingsmens d.c. seans king georgetown hayes charlottesville arlington milton beveiligingsdienst monk caleb cia capitol annabelle gray beveiligingsman beroepsmoordenaar kogelvrije badge zendertje simpson capitool ritter washington town getuigenbeschermingsprogramma quantico carr inlichtingenwerk cia-agent eraantoe privédetectives lexus maryland afluisterapparatuur camp tennessee	crime		crime
166	40	stevie hyatt clay novak paige telefoongegeven verdemmen verrekt cincinnati bewakingsbeeld kristen fbi-agent schuiladre verdomme huiszoekingsbevel fords natrekken spiertje bewijszak alarmnummer verdoofd meredith spoedeisen luizen contactverbod dwangbevel klootzak verstrakken troy godallemachtig peabody vermtren moordzaken baltimore verdomm maynard móéder waag privédetective jot josephs politievrouw ford noah opeenklemmen geschoktheid kyle hufter verstijven taylor	crime		crime
167	40	pretoria ossenwagen johannesburg schuilhoek kaaps schalk kaapstad boeren klara durban boerenoorlog kaffer zuid-afrikaanse township kaap bijbeltje zuid-afrikanen siena oss kleurling uitspannen zuid-afrika tafelberg pa kruger maïsmeel venter sprokkelhout zuid-afrikaans shilling knapzak pa’s kosthuis drinkplaats baviaan paardenkar ma brandhout doorwaadbaar vrijstaat erf houthakker ginds tsjonge allemens houwel voortrekker achtererf waterpoel ma’s	geography and setting		geography & setting
168	40	layla roth demon bambi nicolai demoon stacey poseur verlaine spiertje wachter waterspuwer demonisch duiveltje zombie jasmine klawen aurat aster grom trinity nadia voorbode muskusachtig omhoogkropen keukeneiland roofdierachtig hoektand rilling samensmolten flippen happen hoektanden alsjebleffen bovenwereld jot supersexy shirt kippenvel woesteling tinteling wegkenken tintelen ninjum hekse schaduwachtig wauw aanspanden klauw griezelig	supernatural, fantasy and sci-fi		super., fantasy & sci-fi
169	40	aansluitend dagmar silva mallorca palma linkerwijsvinger touroperator canarisch baskenland alfonso chantal onheilsplek oogopslag rechterwijsvinger rechterduim donkers schrikreactie guardia chargeren carmen wegwerpgebaar linkermondhoek tijdsbestek heleen pino kwartslag kansloos canarische tenerife duiker logischerwijze gran marbella rechtermondhoek routineus beheersten intuinen hierna linkerduim intermediair vakantiebestemming amicaal discotheek stoptek nonchalance vakantieliefde inschattingsfout gemakshalve resort breeduit	geography and setting;city, travel and transport		geography & setting;city & travel
170	39	fanny tegengevallen boulogne meisjesgezicht snibben snibbig witje kribbig trouwhartig schoonzusje ongezellig kruidkoek gearmd onaardig maartje meevallen lisette vinnig vermaakt koffiedrinken verschrikken beeldig sabine goedig pinnig lucie kerstkrans gezelligs liesbeth fien fleurig tuinbank woonkeuken bovenhuis kattig vertederd kindlief gijsbert zuurzoet koopavond meewillen verwonderd schoonmoeder krentenbol bitssten koffiezet verrast koffietijd margriet overgordijn	behaviours/feelings		behaviours / feelings
171	39	eensklaps schrijfbureau wèl zoëven aberdeen manon schrede cassis zonderling toulon jongmens schier voorschijn armstoel merkwaardig daimler merkwaardigheid forster gaarne nikkelen reeds snorken monsieur bliksems aanstonds hoegenaamd elkander kostelijk dienaangaan grendelen uitstaande weldra evenwel dupont nopen terstond welhaast ploertendoder mademoiselle weder thans klaarblijkelijk wenk sigarettenkoker schred ergo dienstig venster vance onverwijld	other	?	other
172	39	servisch serviër bosnisch bosnië sarajevo kroatisch kroaten joegoslavisch belgrado kosovo joegoslavië kroatië servië srebrenica montenegro zagreb balkan tito slovenië sloveens joegoslaaf albanees albanië oostenrijks-hongaars adriatisch bulgaars bulgaar bulgarije adriatische enclave oostenrijk-hongarije slavisch triëst bevrijdingsleger thessaloniki cyrillisch hongaar roemeen oostenrijkers macedonië partizaan oorlogsmisdaad militie donau navo oorlogsmisdadiger roemenië serven etnisch karpaten	geography and setting		geography & setting
